year,number,month,state
2004,992,Outubro,Rio Grande do Sul
2005,119,Outubro,Rio Grande do Sul
2006,213,Outubro,Rio Grande do Sul
2007,151,Outubro,Rio Grande do Sul
2008,214,Outubro,Rio Grande do Sul
2009,187,Outubro,Rio Grande do Sul
2010,178,Outubro,Rio Grande do Sul
2011,109,Outubro,Rio Grande do Sul
2012,134,Outubro,Rio Grande do Sul
2013,113,Outubro,Rio Grande do Sul
2014,98,Outubro,Rio Grande do Sul
2015,63,Outubro,Rio Grande do Sul
2016,84,Outubro,Rio Grande do Sul
2017,85,Outubro,Rio Grande do Sul
2018,69,Outubro,Rio Grande do Sul
2019,104,Outubro,Rio Grande do Sul
2020,196,Outubro,Rio Grande do Sul
2021,0,Outubro,Rio Grande do Sul
1998,28,Novembro,Rio Grande do Sul
1999,103,Novembro,Rio Grande do Sul
2000,18,Novembro,Rio Grande do Sul
2001,49,Novembro,Rio Grande do Sul
2002,138,Novembro,Rio Grande do Sul
2003,209,Novembro,Rio Grande do Sul
2004,273,Novembro,Rio Grande do Sul
2005,290,Novembro,Rio Grande do Sul
2006,136,Novembro,Rio Grande do Sul
2007,118,Novembro,Rio Grande do Sul
2008,107,Novembro,Rio Grande do Sul
2009,12,Novembro,Rio Grande do Sul
2010,134,Novembro,Rio Grande do Sul
2011,152,Novembro,Rio Grande do Sul
2012,85,Novembro,Rio Grande do Sul
2013,102,Novembro,Rio Grande do Sul
2014,54,Novembro,Rio Grande do Sul
2015,20,Novembro,Rio Grande do Sul
2016,97,Novembro,Rio Grande do Sul
2017,139,Novembro,Rio Grande do Sul
2018,47,Novembro,Rio Grande do Sul
2019,53,Novembro,Rio Grande do Sul
2020,110,Novembro,Rio Grande do Sul
2021,0,Novembro,Rio Grande do Sul
1998,605,Dezembro,Rio Grande do Sul
1999,1110,Dezembro,Rio Grande do Sul
2000,80,Dezembro,Rio Grande do Sul
2001,80,Dezembro,Rio Grande do Sul
2002,108,Dezembro,Rio Grande do Sul
2003,175,Dezembro,Rio Grande do Sul
2004,168,Dezembro,Rio Grande do Sul
2005,133,Dezembro,Rio Grande do Sul
2006,78,Dezembro,Rio Grande do Sul
2007,110,Dezembro,Rio Grande do Sul
2008,152,Dezembro,Rio Grande do Sul
2009,24,Dezembro,Rio Grande do Sul
2010,175,Dezembro,Rio Grande do Sul
2011,82,Dezembro,Rio Grande do Sul
2012,38,Dezembro,Rio Grande do Sul
2013,57,Dezembro,Rio Grande do Sul
2014,31,Dezembro,Rio Grande do Sul
2015,35,Dezembro,Rio Grande do Sul
2016,77,Dezembro,Rio Grande do Sul
2017,82,Dezembro,Rio Grande do Sul
2018,45,Dezembro,Rio Grande do Sul
2019,101,Dezembro,Rio Grande do Sul
2020,52,Dezembro,Rio Grande do Sul
2021,0,Dezembro,Rio Grande do Sul
1998,0,Janeiro,Rondônia
1999,1,Janeiro,Rondônia
2000,0,Janeiro,Rondônia
2001,0,Janeiro,Rondônia
2002,6,Janeiro,Rondônia
2003,69,Janeiro,Rondônia
2004,31,Janeiro,Rondônia
2005,122,Janeiro,Rondônia
2006,14,Janeiro,Rondônia
2007,44,Janeiro,Rondônia
2008,6,Janeiro,Rondônia
2009,25,Janeiro,Rondônia
2010,26,Janeiro,Rondônia
2011,2,Janeiro,Rondônia
2012,6,Janeiro,Rondônia
2013,16,Janeiro,Rondônia
2014,11,Janeiro,Rondônia
2015,24,Janeiro,Rondônia
2016,85,Janeiro,Rondônia
2017,43,Janeiro,Rondônia
2018,15,Janeiro,Rondônia
2019,33,Janeiro,Rondônia
2020,56,Janeiro,Rondônia
2021,47,Janeiro,Rondônia
1998,0,Fevereiro,Rondônia
1999,1,Fevereiro,Rondônia
2000,6,Fevereiro,Rondônia
2001,2,Fevereiro,Rondônia
2002,8,Fevereiro,Rondônia
2003,14,Fevereiro,Rondônia
2004,16,Fevereiro,Rondônia
2005,41,Fevereiro,Rondônia
2006,19,Fevereiro,Rondônia
2007,5,Fevereiro,Rondônia
2008,12,Fevereiro,Rondônia
2009,2,Fevereiro,Rondônia
2010,9,Fevereiro,Rondônia
2011,11,Fevereiro,Rondônia
2012,9,Fevereiro,Rondônia
2013,8,Fevereiro,Rondônia
2014,4,Fevereiro,Rondônia
2015,17,Fevereiro,Rondônia
2016,71,Fevereiro,Rondônia
2017,15,Fevereiro,Rondônia
2018,7,Fevereiro,Rondônia
2019,22,Fevereiro,Rondônia
2020,39,Fevereiro,Rondônia
2021,16,Fevereiro,Rondônia
1998,0,Março,Rondônia
1999,8,Março,Rondônia
2000,9,Março,Rondônia
2001,0,Março,Rondônia
2002,1,Março,Rondônia
2003,12,Março,Rondônia
2004,28,Março,Rondônia
2005,16,Março,Rondônia
2006,15,Março,Rondônia
2007,27,Março,Rondônia
2008,2,Março,Rondônia
2009,15,Março,Rondônia
2010,13,Março,Rondônia
2011,6,Março,Rondônia
2012,20,Março,Rondônia
2013,30,Março,Rondônia
2014,11,Março,Rondônia
2015,10,Março,Rondônia
2016,30,Março,Rondônia
2017,23,Março,Rondônia
2018,28,Março,Rondônia
2019,28,Março,Rondônia
2020,38,Março,Rondônia
2021,0,Março,Rondônia
1998,0,Abril,Rondônia
1999,3,Abril,Rondônia
2000,0,Abril,Rondônia
2001,0,Abril,Rondônia
2002,3,Abril,Rondônia
2003,18,Abril,Rondônia
2004,27,Abril,Rondônia
2005,26,Abril,Rondônia
2006,9,Abril,Rondônia
2007,10,Abril,Rondônia
2008,12,Abril,Rondônia
2009,6,Abril,Rondônia
2010,43,Abril,Rondônia
2011,12,Abril,Rondônia
2012,21,Abril,Rondônia
2013,27,Abril,Rondônia
2014,16,Abril,Rondônia
2015,12,Abril,Rondônia
2016,56,Abril,Rondônia
2017,20,Abril,Rondônia
2018,7,Abril,Rondônia
2019,26,Abril,Rondônia
2020,33,Abril,Rondônia
2021,0,Abril,Rondônia
1998,0,Maio,Rondônia
1999,3,Maio,Rondônia
2000,15,Maio,Rondônia
2001,7,Maio,Rondônia
2002,15,Maio,Rondônia
2003,102,Maio,Rondônia
2004,32,Maio,Rondônia
2005,61,Maio,Rondônia
2006,105,Maio,Rondônia
2007,65,Maio,Rondônia
2008,20,Maio,Rondônia
2009,10,Maio,Rondônia
2010,70,Maio,Rondônia
2011,59,Maio,Rondônia
2012,35,Maio,Rondônia
2013,19,Maio,Rondônia
2014,26,Maio,Rondônia
2015,13,Maio,Rondônia
2016,52,Maio,Rondônia
2017,29,Maio,Rondônia
2018,41,Maio,Rondônia
2019,50,Maio,Rondônia
2020,58,Maio,Rondônia
2021,0,Maio,Rondônia
1998,27,Junho,Rondônia
1999,10,Junho,Rondônia
2000,54,Junho,Rondônia
2001,31,Junho,Rondônia
2002,143,Junho,Rondônia
2003,230,Junho,Rondônia
2004,297,Junho,Rondônia
2005,261,Junho,Rondônia
2006,232,Junho,Rondônia
2007,314,Junho,Rondônia
2008,79,Junho,Rondônia
2009,26,Junho,Rondônia
2010,223,Junho,Rondônia
2011,169,Junho,Rondônia
2012,55,Junho,Rondônia
2013,32,Junho,Rondônia
2014,99,Junho,Rondônia
2015,120,Junho,Rondônia
2016,174,Junho,Rondônia
2017,152,Junho,Rondônia
2018,148,Junho,Rondônia
2019,170,Junho,Rondônia
2020,138,Junho,Rondônia
2021,0,Junho,Rondônia
1998,366,Julho,Rondônia
1999,135,Julho,Rondônia
2000,120,Julho,Rondônia
2001,74,Julho,Rondônia
2002,741,Julho,Rondônia
2003,1682,Julho,Rondônia
2004,1734,Julho,Rondônia
2005,1947,Julho,Rondônia
2006,1057,Julho,Rondônia
2007,587,Julho,Rondônia
2008,475,Julho,Rondônia
2009,133,Julho,Rondônia
2010,871,Julho,Rondônia
2011,320,Julho,Rondônia
2012,253,Julho,Rondônia
2013,159,Julho,Rondônia
2014,209,Julho,Rondônia
2015,417,Julho,Rondônia
2016,947,Julho,Rondônia
2017,1007,Julho,Rondônia
2018,769,Julho,Rondônia
2019,780,Julho,Rondônia
2020,428,Julho,Rondônia
2021,0,Julho,Rondônia
1998,2254,Agosto,Rondônia
1999,1977,Agosto,Rondônia
2000,2200,Agosto,Rondônia
2001,2133,Agosto,Rondônia
2002,5484,Agosto,Rondônia
2003,9052,Agosto,Rondônia
2004,9259,Agosto,Rondônia
2005,12801,Agosto,Rondônia
2006,6348,Agosto,Rondônia
2007,6769,Agosto,Rondônia
2008,2840,Agosto,Rondônia
2009,609,Agosto,Rondônia
2010,5837,Agosto,Rondônia
2011,1358,Agosto,Rondônia
2012,2561,Agosto,Rondônia
2013,1102,Agosto,Rondônia
2014,2846,Agosto,Rondônia
2015,3669,Agosto,Rondônia
2016,3551,Agosto,Rondônia
2017,3249,Agosto,Rondônia
2018,1975,Agosto,Rondônia
2019,5593,Agosto,Rondônia
2020,3087,Agosto,Rondônia
2021,0,Agosto,Rondônia
1998,3756,Setembro,Rondônia
1999,3059,Setembro,Rondônia
2000,2440,Setembro,Rondônia
2001,1929,Setembro,Rondônia
2002,15903,Setembro,Rondônia
2003,10782,Setembro,Rondônia
2004,23419,Setembro,Rondônia
2005,20907,Setembro,Rondônia
2006,14939,Setembro,Rondônia
2007,14051,Setembro,Rondônia
2008,5122,Setembro,Rondônia
2009,2426,Setembro,Rondônia
2010,7575,Setembro,Rondônia
2011,2460,Setembro,Rondônia
2012,3141,Setembro,Rondônia
2013,2472,Setembro,Rondônia
2014,2806,Setembro,Rondônia
2015,5200,Setembro,Rondônia
2016,3916,Setembro,Rondônia
2017,4568,Setembro,Rondônia
2018,6034,Setembro,Rondônia
2019,3644,Setembro,Rondônia
2020,4202,Setembro,Rondônia
2021,0,Setembro,Rondônia
1998,486,Outubro,Rondônia
1999,1884,Outubro,Rondônia
2000,641,Outubro,Rondônia
2001,797,Outubro,Rondônia
2002,5410,Outubro,Rondônia
2003,7593,Outubro,Rondônia
2004,5089,Outubro,Rondônia
2005,4718,Outubro,Rondônia
2006,1895,Outubro,Rondônia
2007,5343,Outubro,Rondônia
2008,2548,Outubro,Rondônia
2009,1910,Outubro,Rondônia
2010,1724,Outubro,Rondônia
2011,1281,Outubro,Rondônia
2012,1866,Outubro,Rondônia
2013,510,Outubro,Rondônia
2014,978,Outubro,Rondônia
2015,2470,Outubro,Rondônia
2016,2041,Outubro,Rondônia
2017,1726,Outubro,Rondônia
2018,986,Outubro,Rondônia
2019,556,Outubro,Rondônia
2020,2413,Outubro,Rondônia
2021,0,Outubro,Rondônia
1998,3,Novembro,Rondônia
1999,41,Novembro,Rondônia
2000,13,Novembro,Rondônia
2001,92,Novembro,Rondônia
2002,875,Novembro,Rondônia
2003,750,Novembro,Rondônia
2004,681,Novembro,Rondônia
2005,671,Novembro,Rondônia
2006,1028,Novembro,Rondônia
2007,235,Novembro,Rondônia
2008,420,Novembro,Rondônia
2009,214,Novembro,Rondônia
2010,351,Novembro,Rondônia
2011,357,Novembro,Rondônia
2012,271,Novembro,Rondônia
2013,103,Novembro,Rondônia
2014,187,Novembro,Rondônia
2015,901,Novembro,Rondônia
2016,413,Novembro,Rondônia
2017,423,Novembro,Rondônia
2018,198,Novembro,Rondônia
2019,263,Novembro,Rondônia
2020,509,Novembro,Rondônia
2021,0,Novembro,Rondônia
1998,33,Dezembro,Rondônia
1999,0,Dezembro,Rondônia
2000,7,Dezembro,Rondônia
2001,1,Dezembro,Rondônia
2002,102,Dezembro,Rondônia
2003,253,Dezembro,Rondônia
2004,268,Dezembro,Rondônia
2005,78,Dezembro,Rondônia
2006,41,Dezembro,Rondônia
2007,50,Dezembro,Rondônia
2008,24,Dezembro,Rondônia
2009,25,Dezembro,Rondônia
2010,228,Dezembro,Rondônia
2011,45,Dezembro,Rondônia
2012,74,Dezembro,Rondônia
2013,135,Dezembro,Rondônia
2014,141,Dezembro,Rondônia
2015,260,Dezembro,Rondônia
2016,138,Dezembro,Rondônia
2017,58,Dezembro,Rondônia
2018,47,Dezembro,Rondônia
2019,65,Dezembro,Rondônia
2020,144,Dezembro,Rondônia
2021,0,Dezembro,Rondônia
1998,0,Janeiro,Roraima
1999,15,Janeiro,Roraima
2000,18,Janeiro,Roraima
2001,101,Janeiro,Roraima
2002,302,Janeiro,Roraima
2003,761,Janeiro,Roraima
2004,522,Janeiro,Roraima
2005,155,Janeiro,Roraima
2006,98,Janeiro,Roraima
2007,288,Janeiro,Roraima
2008,371,Janeiro,Roraima
2009,65,Janeiro,Roraima
2010,457,Janeiro,Roraima
2011,307,Janeiro,Roraima
2012,239,Janeiro,Roraima
2013,482,Janeiro,Roraima
2014,557,Janeiro,Roraima
2015,411,Janeiro,Roraima
2016,1958,Janeiro,Roraima
2017,108,Janeiro,Roraima
2018,480,Janeiro,Roraima
2019,383,Janeiro,Roraima
2020,297,Janeiro,Roraima
2021,63,Janeiro,Roraima
1998,0,Fevereiro,Roraima
1999,20,Fevereiro,Roraima
2000,57,Fevereiro,Roraima
2001,646,Fevereiro,Roraima
2002,476,Fevereiro,Roraima
2003,1063,Fevereiro,Roraima
2004,349,Fevereiro,Roraima
2005,207,Fevereiro,Roraima
2006,441,Fevereiro,Roraima
2007,1347,Fevereiro,Roraima
2008,223,Fevereiro,Roraima
2009,212,Fevereiro,Roraima
2010,634,Fevereiro,Roraima
2011,140,Fevereiro,Roraima
2012,172,Fevereiro,Roraima
2013,71,Fevereiro,Roraima
2014,332,Fevereiro,Roraima
2015,571,Fevereiro,Roraima
2016,185,Fevereiro,Roraima
2017,124,Fevereiro,Roraima
2018,558,Fevereiro,Roraima
2019,629,Fevereiro,Roraima
2020,483,Fevereiro,Roraima
2021,134,Fevereiro,Roraima
1998,0,Março,Roraima
1999,98,Março,Roraima
2000,125,Março,Roraima
2001,1107,Março,Roraima
2002,819,Março,Roraima
2003,1486,Março,Roraima
2004,449,Março,Roraima
2005,441,Março,Roraima
2006,524,Março,Roraima
2007,927,Março,Roraima
2008,702,Março,Roraima
2009,293,Março,Roraima
2010,536,Março,Roraima
2011,158,Março,Roraima
2012,183,Março,Roraima
2013,265,Março,Roraima
2014,603,Março,Roraima
2015,175,Março,Roraima
2016,1195,Março,Roraima
2017,251,Março,Roraima
2018,727,Março,Roraima
2019,2433,Março,Roraima
2020,695,Março,Roraima
2021,0,Março,Roraima
1998,0,Abril,Roraima
1999,16,Abril,Roraima
2000,0,Abril,Roraima
2001,380,Abril,Roraima
2002,41,Abril,Roraima
2003,354,Abril,Roraima
2004,262,Abril,Roraima
2005,56,Abril,Roraima
2006,376,Abril,Roraima
2007,184,Abril,Roraima
2008,278,Abril,Roraima
2009,279,Abril,Roraima
2010,19,Abril,Roraima
2011,156,Abril,Roraima
2012,49,Abril,Roraima
2013,113,Abril,Roraima
2014,183,Abril,Roraima
2015,307,Abril,Roraima
2016,154,Abril,Roraima
2017,75,Abril,Roraima
2018,191,Abril,Roraima
2019,1134,Abril,Roraima
2020,165,Abril,Roraima
2021,0,Abril,Roraima
1998,0,Maio,Roraima
1999,0,Maio,Roraima
2000,7,Maio,Roraima
2001,9,Maio,Roraima
2002,0,Maio,Roraima
2003,6,Maio,Roraima
2004,9,Maio,Roraima
2005,6,Maio,Roraima
2006,5,Maio,Roraima
2007,2,Maio,Roraima
2008,22,Maio,Roraima
2009,277,Maio,Roraima
2010,6,Maio,Roraima
2011,9,Maio,Roraima
2012,21,Maio,Roraima
2013,6,Maio,Roraima
2014,63,Maio,Roraima
2015,14,Maio,Roraima
2016,22,Maio,Roraima
2017,27,Maio,Roraima
2018,10,Maio,Roraima
2019,21,Maio,Roraima
2020,11,Maio,Roraima
2021,0,Maio,Roraima
1998,0,Junho,Roraima
1999,3,Junho,Roraima
2000,0,Junho,Roraima
2001,1,Junho,Roraima
2002,0,Junho,Roraima
2003,4,Junho,Roraima
2004,9,Junho,Roraima
2005,10,Junho,Roraima
2006,0,Junho,Roraima
2007,3,Junho,Roraima
2008,3,Junho,Roraima
2009,19,Junho,Roraima
2010,1,Junho,Roraima
2011,9,Junho,Roraima
2012,29,Junho,Roraima
2013,6,Junho,Roraima
2014,5,Junho,Roraima
2015,5,Junho,Roraima
2016,10,Junho,Roraima
2017,4,Junho,Roraima
2018,5,Junho,Roraima
2019,2,Junho,Roraima
2020,4,Junho,Roraima
2021,0,Junho,Roraima
1998,1,Julho,Roraima
1999,4,Julho,Roraima
2000,0,Julho,Roraima
2001,1,Julho,Roraima
2002,11,Julho,Roraima
2003,0,Julho,Roraima
2004,2,Julho,Roraima
2005,8,Julho,Roraima
2006,1,Julho,Roraima
2007,15,Julho,Roraima
2008,0,Julho,Roraima
2009,21,Julho,Roraima
2010,2,Julho,Roraima
2011,10,Julho,Roraima
2012,3,Julho,Roraima
2013,4,Julho,Roraima
2014,9,Julho,Roraima
2015,5,Julho,Roraima
2016,1,Julho,Roraima
2017,3,Julho,Roraima
2018,4,Julho,Roraima
2019,4,Julho,Roraima
2020,9,Julho,Roraima
2021,0,Julho,Roraima
1998,0,Agosto,Roraima
1999,1,Agosto,Roraima
2000,9,Agosto,Roraima
2001,4,Agosto,Roraima
2002,18,Agosto,Roraima
2003,6,Agosto,Roraima
2004,22,Agosto,Roraima
2005,16,Agosto,Roraima
2006,21,Agosto,Roraima
2007,4,Agosto,Roraima
2008,13,Agosto,Roraima
2009,41,Agosto,Roraima
2010,7,Agosto,Roraima
2011,47,Agosto,Roraima
2012,8,Agosto,Roraima
2013,4,Agosto,Roraima
2014,16,Agosto,Roraima
2015,14,Agosto,Roraima
2016,17,Agosto,Roraima
2017,33,Agosto,Roraima
2018,7,Agosto,Roraima
2019,5,Agosto,Roraima
2020,14,Agosto,Roraima
2021,0,Agosto,Roraima
1998,2,Setembro,Roraima
1999,3,Setembro,Roraima
2000,12,Setembro,Roraima
2001,1,Setembro,Roraima
2002,91,Setembro,Roraima
2003,8,Setembro,Roraima
2004,15,Setembro,Roraima
2005,108,Setembro,Roraima
2006,56,Setembro,Roraima
2007,19,Setembro,Roraima
2008,30,Setembro,Roraima
2009,148,Setembro,Roraima
2010,27,Setembro,Roraima
2011,66,Setembro,Roraima
2012,89,Setembro,Roraima
2013,39,Setembro,Roraima
2014,80,Setembro,Roraima
2015,86,Setembro,Roraima
2016,18,Setembro,Roraima
2017,40,Setembro,Roraima
2018,17,Setembro,Roraima
2019,26,Setembro,Roraima
2020,62,Setembro,Roraima
2021,0,Setembro,Roraima
1998,1,Outubro,Roraima
1999,10,Outubro,Roraima
2000,25,Outubro,Roraima
2001,13,Outubro,Roraima
2002,238,Outubro,Roraima
2003,24,Outubro,Roraima
2004,71,Outubro,Roraima
2005,121,Outubro,Roraima
2006,161,Outubro,Roraima
2007,69,Outubro,Roraima
2008,112,Outubro,Roraima
2009,261,Outubro,Roraima
2010,87,Outubro,Roraima
2011,81,Outubro,Roraima
2012,201,Outubro,Roraima
2013,116,Outubro,Roraima
2014,65,Outubro,Roraima
2015,194,Outubro,Roraima
2016,107,Outubro,Roraima
2017,150,Outubro,Roraima
2018,141,Outubro,Roraima
2019,53,Outubro,Roraima
2020,113,Outubro,Roraima
2021,0,Outubro,Roraima
1998,1,Novembro,Roraima
1999,15,Novembro,Roraima
2000,32,Novembro,Roraima
2001,76,Novembro,Roraima
2002,188,Novembro,Roraima
2003,52,Novembro,Roraima
2004,210,Novembro,Roraima
2005,175,Novembro,Roraima
2006,96,Novembro,Roraima
2007,357,Novembro,Roraima
2008,165,Novembro,Roraima
2009,394,Novembro,Roraima
2010,39,Novembro,Roraima
2011,181,Novembro,Roraima
2012,257,Novembro,Roraima
2013,125,Novembro,Roraima
2014,197,Novembro,Roraima
2015,298,Novembro,Roraima
2016,69,Novembro,Roraima
2017,421,Novembro,Roraima
2018,120,Novembro,Roraima
2019,58,Novembro,Roraima
2020,19,Novembro,Roraima
2021,0,Novembro,Roraima
1998,16,Dezembro,Roraima
1999,35,Dezembro,Roraima
2000,77,Dezembro,Roraima
2001,76,Dezembro,Roraima
2002,282,Dezembro,Roraima
2003,223,Dezembro,Roraima
2004,301,Dezembro,Roraima
2005,158,Dezembro,Roraima
2006,410,Dezembro,Roraima
2007,29,Dezembro,Roraima
2008,31,Dezembro,Roraima
2009,349,Dezembro,Roraima
2010,103,Dezembro,Roraima
2011,311,Dezembro,Roraima
2012,125,Dezembro,Roraima
2013,164,Dezembro,Roraima
2014,409,Dezembro,Roraima
2015,372,Dezembro,Roraima
2016,134,Dezembro,Roraima
2017,329,Dezembro,Roraima
2018,123,Dezembro,Roraima
2019,36,Dezembro,Roraima
2020,58,Dezembro,Roraima
2021,0,Dezembro,Roraima
1998,0,Janeiro,Santa Catarina
1999,11,Janeiro,Santa Catarina
2000,14,Janeiro,Santa Catarina
2001,11,Janeiro,Santa Catarina
2002,22,Janeiro,Santa Catarina
2003,92,Janeiro,Santa Catarina
2004,63,Janeiro,Santa Catarina
2005,61,Janeiro,Santa Catarina
2006,74,Janeiro,Santa Catarina
2007,27,Janeiro,Santa Catarina
2008,37,Janeiro,Santa Catarina
2009,40,Janeiro,Santa Catarina
2010,6,Janeiro,Santa Catarina
2011,20,Janeiro,Santa Catarina
2012,25,Janeiro,Santa Catarina
2013,27,Janeiro,Santa Catarina
2014,51,Janeiro,Santa Catarina
2015,18,Janeiro,Santa Catarina
2016,64,Janeiro,Santa Catarina
2017,46,Janeiro,Santa Catarina
2018,9,Janeiro,Santa Catarina
2019,41,Janeiro,Santa Catarina
2020,35,Janeiro,Santa Catarina
2021,5,Janeiro,Santa Catarina
1998,0,Fevereiro,Santa Catarina
1999,2,Fevereiro,Santa Catarina
2000,8,Fevereiro,Santa Catarina
2001,0,Fevereiro,Santa Catarina
2002,5,Fevereiro,Santa Catarina
2003,64,Fevereiro,Santa Catarina
2004,64,Fevereiro,Santa Catarina
2005,79,Fevereiro,Santa Catarina
2006,35,Fevereiro,Santa Catarina
2007,37,Fevereiro,Santa Catarina
2008,59,Fevereiro,Santa Catarina
2009,18,Fevereiro,Santa Catarina
2010,19,Fevereiro,Santa Catarina
2011,1,Fevereiro,Santa Catarina
2012,34,Fevereiro,Santa Catarina
2013,11,Fevereiro,Santa Catarina
2014,25,Fevereiro,Santa Catarina
2015,15,Fevereiro,Santa Catarina
2016,2,Fevereiro,Santa Catarina
2017,27,Fevereiro,Santa Catarina
2018,48,Fevereiro,Santa Catarina
2019,10,Fevereiro,Santa Catarina
2020,36,Fevereiro,Santa Catarina
2021,62,Fevereiro,Santa Catarina
1998,0,Março,Santa Catarina
1999,7,Março,Santa Catarina
2000,46,Março,Santa Catarina
2001,1,Março,Santa Catarina
2002,12,Março,Santa Catarina
2003,111,Março,Santa Catarina
2004,141,Março,Santa Catarina
2005,189,Março,Santa Catarina
2006,90,Março,Santa Catarina
2007,68,Março,Santa Catarina
2008,32,Março,Santa Catarina
2009,65,Março,Santa Catarina
2010,25,Março,Santa Catarina
2011,18,Março,Santa Catarina
2012,111,Março,Santa Catarina
2013,30,Março,Santa Catarina
2014,17,Março,Santa Catarina
2015,31,Março,Santa Catarina
2016,20,Março,Santa Catarina
2017,20,Março,Santa Catarina
2018,22,Março,Santa Catarina
2019,22,Março,Santa Catarina
2020,132,Março,Santa Catarina
2021,0,Março,Santa Catarina
1998,0,Abril,Santa Catarina
1999,0,Abril,Santa Catarina
2000,7,Abril,Santa Catarina
2001,1,Abril,Santa Catarina
2002,7,Abril,Santa Catarina
2003,290,Abril,Santa Catarina
2004,185,Abril,Santa Catarina
2005,116,Abril,Santa Catarina
2006,227,Abril,Santa Catarina
2007,47,Abril,Santa Catarina
2008,59,Abril,Santa Catarina
2009,139,Abril,Santa Catarina
2010,36,Abril,Santa Catarina
2011,21,Abril,Santa Catarina
2012,57,Abril,Santa Catarina
2013,105,Abril,Santa Catarina
2014,35,Abril,Santa Catarina
2015,36,Abril,Santa Catarina
2016,33,Abril,Santa Catarina
2017,28,Abril,Santa Catarina
2018,150,Abril,Santa Catarina
2019,12,Abril,Santa Catarina
2020,308,Abril,Santa Catarina
2021,0,Abril,Santa Catarina
1998,0,Maio,Santa Catarina
1999,1,Maio,Santa Catarina
2000,0,Maio,Santa Catarina
2001,2,Maio,Santa Catarina
2002,3,Maio,Santa Catarina
2003,492,Maio,Santa Catarina
2004,40,Maio,Santa Catarina
2005,175,Maio,Santa Catarina
2006,346,Maio,Santa Catarina
2007,36,Maio,Santa Catarina
2008,217,Maio,Santa Catarina
2009,102,Maio,Santa Catarina
2010,3,Maio,Santa Catarina
2011,85,Maio,Santa Catarina
2012,160,Maio,Santa Catarina
2013,98,Maio,Santa Catarina
2014,40,Maio,Santa Catarina
2015,70,Maio,Santa Catarina
2016,36,Maio,Santa Catarina
2017,35,Maio,Santa Catarina
2018,77,Maio,Santa Catarina
2019,3,Maio,Santa Catarina
2020,286,Maio,Santa Catarina
2021,0,Maio,Santa Catarina
1998,2,Junho,Santa Catarina
1999,0,Junho,Santa Catarina
2000,2,Junho,Santa Catarina
2001,1,Junho,Santa Catarina
2002,0,Junho,Santa Catarina
2003,339,Junho,Santa Catarina
2004,369,Junho,Santa Catarina
2005,197,Junho,Santa Catarina
2006,220,Junho,Santa Catarina
2007,162,Junho,Santa Catarina
2008,76,Junho,Santa Catarina
2009,77,Junho,Santa Catarina
2010,40,Junho,Santa Catarina
2011,121,Junho,Santa Catarina
2012,111,Junho,Santa Catarina
2013,81,Junho,Santa Catarina
2014,3,Junho,Santa Catarina
2015,101,Junho,Santa Catarina
2016,104,Junho,Santa Catarina
2017,66,Junho,Santa Catarina
2018,52,Junho,Santa Catarina
2019,104,Junho,Santa Catarina
2020,102,Junho,Santa Catarina
2021,0,Junho,Santa Catarina
1998,0,Julho,Santa Catarina
1999,2,Julho,Santa Catarina
2000,21,Julho,Santa Catarina
2001,5,Julho,Santa Catarina
2002,323,Julho,Santa Catarina
2003,414,Julho,Santa Catarina
2004,243,Julho,Santa Catarina
2005,392,Julho,Santa Catarina
2006,707,Julho,Santa Catarina
2007,186,Julho,Santa Catarina
2008,438,Julho,Santa Catarina
2009,76,Julho,Santa Catarina
2010,171,Julho,Santa Catarina
2011,81,Julho,Santa Catarina
2012,102,Julho,Santa Catarina
2013,215,Julho,Santa Catarina
2014,83,Julho,Santa Catarina
2015,46,Julho,Santa Catarina
2016,610,Julho,Santa Catarina
2017,461,Julho,Santa Catarina
2018,161,Julho,Santa Catarina
2019,189,Julho,Santa Catarina
2020,89,Julho,Santa Catarina
2021,0,Julho,Santa Catarina
1998,0,Agosto,Santa Catarina
1999,51,Agosto,Santa Catarina
2000,68,Agosto,Santa Catarina
2001,25,Agosto,Santa Catarina
2002,1263,Agosto,Santa Catarina
2003,2611,Agosto,Santa Catarina
2004,1357,Agosto,Santa Catarina
2005,1357,Agosto,Santa Catarina
2006,1862,Agosto,Santa Catarina
2007,848,Agosto,Santa Catarina
2008,585,Agosto,Santa Catarina
2009,1133,Agosto,Santa Catarina
2010,1111,Agosto,Santa Catarina
2011,350,Agosto,Santa Catarina
2012,718,Agosto,Santa Catarina
2013,454,Agosto,Santa Catarina
2014,521,Agosto,Santa Catarina
2015,382,Agosto,Santa Catarina
2016,795,Agosto,Santa Catarina
2017,558,Agosto,Santa Catarina
2018,574,Agosto,Santa Catarina
2019,939,Agosto,Santa Catarina
2020,977,Agosto,Santa Catarina
2021,0,Agosto,Santa Catarina
1998,6,Setembro,Santa Catarina
1999,101,Setembro,Santa Catarina
2000,36,Setembro,Santa Catarina
2001,18,Setembro,Santa Catarina
2002,1189,Setembro,Santa Catarina
2003,1641,Setembro,Santa Catarina
2004,943,Setembro,Santa Catarina
2005,208,Setembro,Santa Catarina
2006,769,Setembro,Santa Catarina
2007,771,Setembro,Santa Catarina
2008,399,Setembro,Santa Catarina
2009,82,Setembro,Santa Catarina
2010,377,Setembro,Santa Catarina
2011,772,Setembro,Santa Catarina
2012,274,Setembro,Santa Catarina
